INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,27-Jul-2017,0,XX,24527.05,24718,24491.75,24686.2,24686.2,60435,594464.41,2101440,-166320,26-JUL-2017,
FUTIDX,BANKNIFTY,31-Aug-2017,0,XX,24624.95,24774,24575,24742.05,24742.05,23582,232551.98,1637360,429680,26-JUL-2017,
FUTIDX,BANKNIFTY,28-Sep-2017,0,XX,24670,24818.95,24615.45,24789.5,24789.5,402,3975.01,33840,4640,26-JUL-2017,
FUTIDX,DJIA,18-Aug-2017,0,XX,21560,21587.5,21550,21585,21585,48,310.51,15120,-420,26-JUL-2017,
FUTIDX,DJIA,15-Sep-2017,0,XX,0,0,0,19507.5,21810,0,0,0,0,26-JUL-2017,
FUTIDX,DJIA,18-Oct-2017,0,XX,0,0,0,21945,21937.5,0,0,0,0,26-JUL-2017,
FUTIDX,DJIA,15-Dec-2017,0,XX,0,0,0,21150,22162.5,0,0,0,0,26-JUL-2017,
FUTIDX,DJIA,16-Mar-2018,0,XX,0,0,0,22335,22520,0,0,0,0,26-JUL-2017,
FUTIDX,DJIA,15-Jun-2018,0,XX,0,0,0,22790,22882.5,0,0,0,0,26-JUL-2017,
FUTIDX,FTSE100,18-Aug-2017,0,XX,0,0,0,7629,7465,0,0,0,0,26-JUL-2017,
FUTIDX,FTSE100,15-Sep-2017,0,XX,0,0,0,7152,7502,0,0,0,0,26-JUL-2017,
FUTIDX,FTSE100,18-Oct-2017,0,XX,0,0,0,7550,7546,0,0,0,0,26-JUL-2017,
FUTIDX,FTSE100,15-Dec-2017,0,XX,0,0,0,7457,7623,0,0,0,0,26-JUL-2017,
FUTIDX,FTSE100,16-Mar-2018,0,XX,0,0,0,7912,7746,0,0,0,0,26-JUL-2017,
FUTIDX,FTSE100,15-Jun-2018,0,XX,0,0,0,7982,7871,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTY,27-Jul-2017,0,XX,9975.25,10032,9964.2,10023.05,10023.05,126068,945527.53,12342150,-2199375,26-JUL-2017,
FUTIDX,NIFTY,31-Aug-2017,0,XX,10013.65,10074.05,10004.95,10065,10065,79146,596050.55,11505300,2952750,26-JUL-2017,
FUTIDX,NIFTY,28-Sep-2017,0,XX,10040.4,10104.65,10034.6,10092.55,10092.55,4079,30807.11,581475,178800,26-JUL-2017,
FUTIDX,NIFTYCPSE,27-Jul-2017,0,XX,0,0,0,2420,2404.5,0,0,1250,0,26-JUL-2017,
FUTIDX,NIFTYCPSE,31-Aug-2017,0,XX,0,0,0,2635.2,2419.35,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYCPSE,28-Sep-2017,0,XX,0,0,0,2371.45,2431.3,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYINFRA,27-Jul-2017,0,XX,0,0,0,3318.85,3391.8,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYINFRA,31-Aug-2017,0,XX,0,0,0,3264.05,3412.75,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYINFRA,28-Sep-2017,0,XX,0,0,0,3261.55,3429.6,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYIT,27-Jul-2017,0,XX,10806,10822,10744,10767,10767,194,1045.24,16400,-2050,26-JUL-2017,
FUTIDX,NIFTYIT,31-Aug-2017,0,XX,10840,10842,10801,10822,10822,110,594.99,13550,2650,26-JUL-2017,
FUTIDX,NIFTYIT,28-Sep-2017,0,XX,0,0,0,10292,10905,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYMID50,27-Jul-2017,0,XX,0,0,0,4683.3,4771.45,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYMID50,31-Aug-2017,0,XX,0,0,0,4493.65,4800.9,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYMID50,28-Sep-2017,0,XX,0,0,0,4573.1,4824.65,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYPSE,27-Jul-2017,0,XX,0,0,0,4261.55,3957.05,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYPSE,31-Aug-2017,0,XX,0,0,0,4094.1,3981.5,0,0,0,0,26-JUL-2017,
FUTIDX,NIFTYPSE,28-Sep-2017,0,XX,0,0,0,3825.45,4001.15,0,0,0,0,26-JUL-2017,
FUTIDX,S&P500,18-Aug-2017,0,XX,2470.25,2474,2470.25,2473.75,2473.75,72,445.15,820750,5500,26-JUL-2017,
FUTIDX,S&P500,15-Sep-2017,0,XX,0,0,0,2300,2499.5,0,0,0,0,26-JUL-2017,
FUTIDX,S&P500,18-Oct-2017,0,XX,0,0,0,2511.5,2514,0,0,0,0,26-JUL-2017,
FUTIDX,S&P500,15-Dec-2017,0,XX,0,0,0,2410,2540,0,0,0,0,26-JUL-2017,
FUTIDX,S&P500,16-Mar-2018,0,XX,0,0,0,2540.5,2581,0,0,0,0,26-JUL-2017,
FUTIDX,S&P500,15-Jun-2018,0,XX,0,0,0,2595.25,2622.5,0,0,0,0,26-JUL-2017,
FUTIVX,INDIAVIX,01-Aug-2017,0,XX,0,0,0,1104.75,1149.5,0,0,0,0,26-JUL-2017,
FUTIVX,INDIAVIX,08-Aug-2017,0,XX,0,0,0,1151.25,1180.5,0,0,0,0,26-JUL-2017,
FUTIVX,INDIAVIX,14-Aug-2017,0,XX,0,0,0,1100,1211,0,0,0,0,26-JUL-2017,
FUTSTK,ACC,27-Jul-2017,0,XX,1724.1,1732.7,1699.45,1707.25,1707.25,2290,15653.21,830800,-240000,26-JUL-2017,
FUTSTK,ACC,31-Aug-2017,0,XX,1730.3,1742,1709.75,1717.95,1717.95,1283,8822,570000,200400,26-JUL-2017,
FUTSTK,ACC,28-Sep-2017,0,XX,0,0,0,1741.4,1725.7,0,0,1600,0,26-JUL-2017,
FUTSTK,ADANIENT,27-Jul-2017,0,XX,139.35,142.3,139.35,140.95,140.95,2926,33028.92,10792000,-7768000,26-JUL-2017,
FUTSTK,ADANIENT,31-Aug-2017,0,XX,140,142.9,139.9,141.55,141.55,1848,20952.47,14232000,7528000,26-JUL-2017,
FUTSTK,ADANIENT,28-Sep-2017,0,XX,141.2,141.55,141.2,141.55,142.35,2,22.62,16000,16000,26-JUL-2017,
FUTSTK,ADANIPORTS,27-Jul-2017,0,XX,390.7,394.05,388.4,392.4,392.4,2612,25575.74,3940000,-1427500,26-JUL-2017,
FUTSTK,ADANIPORTS,31-Aug-2017,0,XX,392.75,395,389.85,393.35,393.35,1530,15022.2,3172500,1387500,26-JUL-2017,
FUTSTK,ADANIPORTS,28-Sep-2017,0,XX,393.65,394.45,393.65,394.2,397.5,4,39.41,80000,7500,26-JUL-2017,
FUTSTK,ADANIPOWER,27-Jul-2017,0,XX,33.65,35.2,33.35,35.05,35.05,5941,40651.45,35900000,-55220000,26-JUL-2017,
FUTSTK,ADANIPOWER,31-Aug-2017,0,XX,33.65,35.45,33.6,35.3,35.3,4690,32262.47,80560000,36780000,26-JUL-2017,
FUTSTK,ADANIPOWER,28-Sep-2017,0,XX,35.5,35.5,35.5,35.5,35.5,1,7.1,120000,20000,26-JUL-2017,
